identityLineItemId,lineItemUnblendedCost,lineItemUsageStartDate,lineItemUsageEndDate,lineItemLineItemType,lineItemProductCode,lineItemResourceId
rk56bl4ersq3grm27orvql4wxf43bwhx7q76b7qyhrpxtl7k3kva,0.036,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-delivery-zones-01-001
pq6wi363gexx7wjhejv47lwsmihe3qz4fviblprhp5auv7hlf2xq,0.961,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-04-002
jlikrtdyxik6z5ki5b4jvivupmstyr7mryont3gm55avlyu3utva,0.121954263,2023-07-07T00:00:00Z,2023-07-07T02:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-d1aa5adb-e46d-c180-9364-4cf25af757ac
sjdi4t6heulxvzhkbeq76oy6jqpuoyhjglx23aqg55cwnbyxpx3a,0.961,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-09-002
5trnxoigso3zao7rd3rh3uqyx7tzcv4jmaxhdvcy6l4nfszvp7za,0.686,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-users-01-001
e76pvzaqiv5ntxxr7c4qe2b2zpu6eiqpq7gcpnoyn5ovtui5ppwa,0.9812839028,2023-07-07T00:00:00Z,2023-07-07T02:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:434632636264:cluster-snapshot:awsbackup:copyjob-060ae74d-0bc0-33ce-5a17-924398a13411
nqads7wbje3w6hcqgqerwqfq2dwpxaebyj4f4bnmhy6rmwah3voa,0.961,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-09-001
ppwt7dzzpsj4c5e6tenyu7vai4hbwhsb7rmdzwf5zebk73lknjnq,0.961,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-09-001
gbzmoekttydurgwuhuy6szoman2dx3wuyvmmllrse2ujcxrqemya,7.481E-7,2023-07-07T00:00:00Z,2023-07-07T02:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:434632636264:db:orderweb-production-aurora-foodpony-0
vpzfmsukq5cza2erliehthnqtymnpzm6k7iu3fglag3r5gwrsysa,0.961,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-roo-service-account-01-001
clxht6mwf7drnvmzae2tjibxruyclzkf7dbocyr2ccgupriusarq,5.8836647088,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:434632636264:cluster-snapshot:awsbackup:copyjob-2b0fdde3-50f6-029a-3df7-b1277d2d437c
va7xtzomdqkn6aq7gaf74xiykvxz6fgu45utmgkaj5vh3rmmjica,0.1204959434,2023-07-07T00:00:00Z,2023-07-07T02:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-cfcf9a99-6e24-fc25-b87c-a0a477bac1c7
kgortkblfwn6g3icmidbxtcooim5ah2up3fepqv5yuzmgr3tzjrq,0,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:434632636264:db:orderweb-production-aurora-foodpony-bi
nqads7wbje3w6hcqgqerwqfq2dwpxaebyj4f4bnmhy6rmwah3voa,11.532,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-09-001
c2frg32v5kjlf7twq2idu66q7f4ilc47ouhkswf6zadu67jquzyq,7.4962E-6,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:434632636264:db:orderweb-production-aurora-foodpony-2
